기준년월,가명식별자,업종(중분류),외감구분,설립일자,종업원수,주소지시군구,상장일자,상장폐지일자,유동자산,비유동자산,당좌자산,재고자산,유형자산,재공품,현금,현금등가물,상품유가증권,현금성자산,매출채권,매출채권(전기),매출채권처분손실(당기),무형자산,투자자산,자산총계,자산총계(전기),유동부채,단기차입금,차입금,매입채무,비유동부채,부채총계,자기자본(납입자본금),자본잉여금,납입자본,이익잉여금,자본조정,기타포괄손익누계액,유보금,자본총계,전기자본총계,매출액,전기매출액,매출원가,매출총이익,판매비와관리비,법인세비용차감전순이익,전기법인세차감전순이익,법인세,계속사업이익,중단산업손익,금융비용,영업손익,전기영업이익,영업외수익,영업외비용,법인세차감전순이익,당기순이익,당기순이익(전기),현금흐름,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,부채상환계수,영업이익이자보상배율,이자비용,사채이자(당기),이자보상배율,적립금비율,EBIT,EBITDA,청산가치율,청산가치,순운전자본,순차입금,재무비율_총자산증가율,재무비율_부채비율,재무비율_자기자본비율,재무비율_유동비율,재무비율_차입금의존도,재무비율_매출액증가율,재무비율_영업이익율,재무비율_당기순이익율,재무비율_매출원가율,재무비율_판관비율,재무비율_자기자본이익률(ROE),재무비율_매출채권회전율,재무비율_재고자산회전율,재무비율_매입채무회전율,재무비율_총자산회전율,재무비율_총자산순이익률,재무비율_유동자산증가율,재무비율_유형자산증가율,단기차입금의존도,당좌비율,순차입금비율,순운전자본회전율,총자본회전율,자기자본순이익율,매출총이익율,EBITDA마진율,영업이익증가율,당기순이익증가율,EBITDA증가율,OCF/매출액비용,부채상환계수.1,차입금/EBITDA,EBITDA/금융비용,사업장소유여부,소유건축물건수,소유건축물실거래가합계,사업장권리침해여부,소유건축물권리침해여부,기업신용공여연체과목수(일보)(미해제),기업신용공여연체과목수(일보)(3개월내유지)(해제포함),기업신용공여연체과목수(일보)(6개월내유지)(해제포함),기업신용공여연체과목수(일보)(1년내유지)(해제포함),기업신용공여연체과목수(일보)(3년내유지)(해제포함),기업신용공여연체과목수(일보)(3개월내발생)(해제포함),기업신용공여연체과목수(일보)(6개월내발생)(해제포함),기업신용공여연체과목수(일보)(1년내발생)(해제포함),기업신용공여연체과목수(일보)(3년내발생)(해제포함),기업신용공여연체과목수(일보)(3개월내유지)(연체일수30일이상)(해제포함),기업신용공여연체과목수(일보)(6개월내유지)(연체일수30일이상)(해제포함),기업신용공여연체과목수(일보)(1년내유지)(연체일수30일이상)(해제포함),기업신용공여연체과목수(일보)(3년내유지)(연체일수30일이상)(해제포함),기업신용공여30일이상연체과목수(일보)(해제포함),기업신용공여30일이상연체과목수(일보)(미해제),기업신용공여30일이상연체과목수(일보)(이자연체)(해제포함),기업신용공여30일이상연체과목수(일보)(이자연체)(미해제),기업신용공여연체기관수(일보)(미해제),기업신용공여30일이상연체기관수(일보)(해제포함),기업신용공여30일이상연체기관수(일보)(미해제),기업신용공여30일이상연체기관수(일보)(연체)(해제포함),기업신용공여30일이상연체기관수(일보)(이자연체)(미해제),기업신용공여연체기관수(일보)(3개월내유지)(연체일수30일이상)(해제포함),기업신용공여연체기관수(일보)(6개월내유지)(연체일수30일이상)(해제포함),기업신용공여연체기관수(일보)(1년내유지)(연체일수30일이상)(해제포함),기업신용공여연체기관수(일보)(3년내유지)(연체일수30일이상)(해제포함),기업신용공여연체최장연체일수(일보)(3개월내유지)(해제포함),기업신용공여연체최장연체일수(일보)(6개월내유지)(해제포함),기업신용공여연체최장연체일수(일보)(1년내유지)(해제포함),기업신용공여연체최장연체일수(일보)(3년내유지)(해제포함),기업신용공여연체최장연체일수(일보)(5년내유지)(해제포함),기업신용공여연체최장연체일수(일보)(3개월내발생)(해제포함),기업신용공여연체최장연체일수(일보)(6개월내발생)(해제포함),기업신용공여연체최장연체일수(일보)(1년내발생)(해제포함),기업신용공여연체최장연체일수(일보)(3년내발생)(해제포함),기업신용공여연체최장연체일수(일보)(5년내발생)(해제포함),신용도판단공공정보건수(CIS)(5년내발생)(해제포함),신용도판단정보공공정보건수(CIS)(미해제),신용도판단정보공공정보건수(관련인제외)(CIS)(당월유지)(해제포함),"공공정보(국세,지방세,관세체납)건수(CIS)(미해제)","공공정보(국세,지방세,관세체납)건수(CIS)(5년내발생)","공공정보(국세,지방세,관세체납,고용산재체납)건수(CIS)(미해제)","공공정보(국세,지방세,관세체납,고용산재체납)건수(CIS)(5년내발생)","신용도판단정보공공정보최근발생일자로부터경과일수(CIS)(해제,삭제)","신용도판단정보공공정보최근해제일자로부터경과일수(CIS)(해제,삭제)",기업신용평가등급(구간화),모형개발용Performance(향후1년내부도여부)
20210901,2545,C26,1,19990330,308,41190.0,,,19628273,37443926,12479089,7149183,35731390,559157,12228,0,0,7428968,3985398,6706961.0,0,1061947,637169,57072199,59302696.0,22574615,8273200,33965100,1981737,17967659,40542274,9327700,6183608,15511308,3095278,-2076661,0,9278886,16529924,19601964.0,46451944,56017810.0,43424283,3027660,2856668,170992,1667583.0,20625,-2998913,0,1071666,170992,1667583.0,947272,4096552,-2978288,-2998913,450647.0,3615340,5291676,-2217002,540666,11.47,0.84,1071666,0,-1.78,77.21,-4026240,3341612,97.0,55359663,-2946342,25986631,-3.76,245.27,28.96,86.95,59.51,-17.08,0.37,-6.46,93.48,6.15,-18.14,8.69,6.52,26.06,0.8,-5.25,4.11,-2.96,14.5,55.28,157.21,0.0,2.81,-16.6,6.52,-4.1,-89.75,-765.47,-494.53,11.39,-31.91,0.1,3.12,0,3,-99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999999999,999999999,4,0
20210901,2546,N75,1,19990305,43022,27260.0,,,13257244,7647500,13108378,148866,4700390,0,0,0,0,1145657,0,0.0,0,6074,1494329,20904745,20395043.0,12503842,5275000,8257791,0,3394057,15897900,1500000,0,1500000,2560820,0,946024,2560820,5006845,4176377.0,77778129,74106581.0,74039469,3738660,2798541,940118,734881.0,-835374,-239089,0,530163,940118,734881.0,854407,2868990,-1074464,-239089,101562.0,550556,1623710,-14674,-1058479,9.13,14.41,530163,0,-1.03,233.79,502141,1203000,85.9,17957634,753402,6612133,2.5,317.52,23.95,106.03,39.5,4.95,1.21,-0.31,95.19,3.6,-4.78,0.0,535.86,0.0,3.77,-1.14,-5.97,29.16,25.23,104.83,132.06,103.24,15.53,-5.21,4.81,-0.7,27.93,-335.41,-270.38,2.09,-62.9,0.07,2.27,0,7,390460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999999999,999999999,4,0
20210901,2547,C29,1,19991207,113,26500.0,,,31233532,12520844,27068741,4164791,3682861,3927150,0,0,0,1518599,18023107,17092878.0,349074,26643,5138470,43754377,44847493.0,27110642,2650000,2650000,21767688,5078961,32189604,3750000,0,3750000,7831379,0,-16606,7831379,11564773,11380625.0,87237674,102236762.0,77789809,9447865,8047404,1400461,1215119.0,310601,1063753,0,491330,1400461,1215119.0,1613791,1639897,1374355,1063753,536243.0,-64126,-3171489,1320362,1787000,5.09,7.85,142256,0,10.66,208.39,760330,1628487,79.8,34916394,4122889,-4970599,-2.44,278.34,26.43,115.21,6.06,-14.67,1.61,1.22,89.17,9.22,9.2,4.97,21.23,3.89,1.97,2.43,-7.19,-4.25,6.06,99.85,-42.98,21.16,7.54,9.27,10.83,2.14,15.25,98.37,6.4,-3.64,-185.32,0.02,3.31,0,7,-99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999999999,999999999,4,0
20210901,2548,C33,1,19960416,156,41173.0,20011113.0,,19961828,25633272,12874935,7086892,20907413,174690,1211,0,0,5059217,5713786,4779677.0,0,51827,3820935,45595101,42768735.0,5346397,0,12185195,3149812,12661414,18007812,25984128,48544108,74528236,-47061014,0,120066,1483093,27587288,30047363.0,20187928,17668069.0,18111426,2076501,5117368,-3040866,-2697757.0,0,-8213206,0,351862,-3040866,-2697757.0,1118999,6291340,-8213206,-8213206,-12906461.0,-6514568,-4727063,-9834522,8047016,100.0,-7.74,351862,0,-22.34,6.17,-8494160,-2045246,89.64,40869242,14615430,5325977,6.61,65.28,60.5,373.37,26.72,14.26,-15.06,-40.68,89.71,25.35,-29.77,3.85,3.56,8.27,0.46,-18.01,-3.54,35.4,0.0,240.82,19.31,1.38,0.73,-28.5,10.29,-38.94,-12.72,36.36,0.0,-23.42,-1343.44,-0.06,-5.81,0,0,-99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999999999,999999999,6,0
20210901,2549,C25,1,19961001,188,28200.0,,,3560793,16096197,2395975,1164818,15818413,0,0,0,0,460340,1905618,2050549.0,0,55732,213374,19656991,22186885.0,8871555,4136197,5811197,2764380,1267323,10138879,975000,0,975000,-3511824,0,12054936,-3511824,9518112,11152623.0,15672441,15395333.0,13911147,1761293,1740009,21283,-767261.0,0,-1634510,0,136814,21283,-767261.0,90819,1746613,-1634510,-1634510,-931767.0,34374,590724,-131349,-425000,3.2,20.12,136814,0,-10.95,876.22,-1729386,685153,98.59,19379207,-5310762,5340856,-11.4,106.52,48.42,40.14,29.56,1.8,0.14,-10.43,88.76,11.1,-17.17,7.92,12.01,5.32,0.75,-8.32,-38.27,-3.24,21.04,27.01,56.11,0.0,1.65,-15.81,11.24,-9.56,102.77,-75.42,0.0,3.77,-82.97,0.08,5.01,1,3,-99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999999999,999999999,4,0
20210901,2550,C10,1,20040317,71,44810.0,,,3565366,8195653,2473081,1092285,7782050,0,0,0,0,477711,1436741,1740371.0,0,367466,10349,11761020,12099150.0,5527162,1370370,8142677,567547,4289267,9816429,700000,0,700000,1244590,0,0,1244590,1944590,1837386.0,13233787,14869531.0,11575513,1658274,1320069,338204,681823.0,36798,107204,0,272313,338204,681823.0,127781,321982,144003,107204,278777.0,18192,1226027,-984023,-223812,16.58,2.34,272313,0,1.53,177.8,-175534,1217926,96.48,11347417,-1961795,7664966,-2.79,504.81,16.53,64.51,69.23,-11.0,2.56,0.81,87.47,9.97,5.51,8.33,11.24,20.69,1.11,0.91,0.94,-5.49,11.65,44.74,394.17,0.0,6.81,5.67,12.53,3.15,-50.4,-61.54,-39.75,9.26,-8.79,0.07,4.47,0,1,-99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999999999,999999999,5,0
20210901,2551,L68,1,19980928,4976,48170.0,,,84647114,46573801,84152312,494801,21910139,0,0,0,0,47736378,21302218,18421234.0,0,2269930,878914,131220916,119572104.0,91914389,0,1047239,135418,23777692,115692082,15000000,0,15000000,570750,-41916,0,570750,15528833,15109095.0,245564169,232505556.0,236860027,8704142,8457193,246949,1111472.0,55945,594620,0,17209,246949,1111472.0,575873,172256,650565,594620,1633693.0,3215362,9010734,-5196639,-598731,100.0,25320740.8,17209,0,38.8,3.53,835812,3907824,81.2,106557253,-7267275,-54689138,9.74,745.01,11.83,92.09,0.8,5.62,0.1,0.24,96.46,3.44,3.83,12.36,485.49,754.22,1.96,0.45,6.35,67.36,0.0,91.56,-352.18,0.0,15.81,3.88,3.54,0.27,-77.78,-63.6,-34.04,3.67,52360.59,0.0,227.08,0,3,267410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999999999,999999999,3,0
20210901,2552,J58,1,20031212,100,41173.0,20180205.0,,75281825,7756954,75220334,61492,4060278,0,0,0,0,39810135,3035372,3735674.0,0,156927,1478288,83038780,73974005.0,16681566,7984000,8197480,644986,96519,16778085,2242424,45594482,47836906,24558578,-6134790,0,70153060,66260694,67804222.0,25710545,22021437.0,16609798,9100747,2616412,6484334,2683364.0,415524,1159049,0,99216,6484334,2683364.0,1399010,6308771,1574573,1159049,1548928.0,30013549,8992670,16003431,5017447,1.23,73649493.6,99216,0,16.87,2854.87,1323243,6957245,95.55,79342104,58600259,-60405672,12.25,25.32,79.79,451.29,9.87,16.75,25.22,4.51,64.6,10.18,1.75,7.59,453.67,73.32,0.33,1.4,14.22,-4.73,9.61,450.92,-91.16,0.44,0.39,1.73,35.4,6.51,141.65,-25.17,-34.7,34.98,12.48,0.01,70.12,0,2,-99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999999999,999999999,3,0
20210901,2553,C10,1,19901114,91,11710.0,,,20500324,17287110,9956994,10543329,7733890,0,0,0,0,1862930,7429096,8164991.0,7184,0,9136681,37787434,39249459.0,10212190,2500000,2500000,5601773,1429188,11641379,7500000,0,7500000,18357406,0,288648,18357406,26146055,27017393.0,46346206,47688543.0,41479623,4866582,4029665,836917,1646606.0,297779,1512440,0,98860,836917,1646606.0,1153888,180587,1810219,1512440,2680708.0,-66682,612290,1261026,-1940000,3.8,16.62,91676,0,20.75,248.61,1158892,1895856,74.72,28234215,10288134,637069,-3.72,44.52,69.19,200.74,6.62,-2.81,1.81,3.26,89.5,8.69,5.78,5.94,4.58,8.17,1.2,4.0,-4.27,-2.23,6.62,97.5,2.44,4.5,1.77,5.69,10.5,4.12,-49.17,-43.58,-40.09,1.32,-72.64,0.01,19.18,0,7,53120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999999999,999999999,1,0
20210901,2554,C26,1,19980629,55,,,,30461874,39396087,29624514,837360,10972195,430271,0,0,8322940,1049511,8315777,9754454.0,0,586666,27057138,69857961,64317477.0,4422173,2223674,2223674,1378805,1202736,5624909,5792345,27059702,32852047,34856552,-3282742,-192806,61916255,64233051,55981327.0,20725072,25186637.0,9855747,10869325,2100756,8768568,9300999.0,1067866,8496668,0,0,8768568,9300999.0,3134858,2338890,9564535,8496668,5901860.0,-3049604,6949365,-11125435,1126465,0.0,99993457.3,0,0,95645358.9,1008.93,7831973,9288563,59.31,41434070,26039701,-18572777,8.61,8.76,91.95,688.84,3.18,-17.71,42.31,41.0,47.55,10.14,13.23,2.29,30.81,10.92,0.31,12.16,-27.02,-2.3,3.18,669.91,-28.91,0.8,0.32,14.14,52.45,46.15,-5.72,43.97,15.66,33.53,212.52,0.0,92885637.8,0,7,874230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999999999,999999999,2,0
